device,model,seeds,parameters,latency_samples,median_esr,median_mae,median_gain_error,median_correlation,median_mrstft,median_magnitude_error,median_log_spectral_distance_db,median_residual_energy_ratio,relative_esr_vs_b0
fulltone_full_drive_2,B0,3,12145,0,0.06388282402001225,0.02767828587280242,-0.06263526166582489,0.976631844781609,1.006631759145246,0.1808430489996969,4.859927926675438,0.0,0.0
fulltone_full_drive_2,B2,3,12153,0,0.2679184783903779,0.06444143995797753,-0.36606147062403027,0.8677765385273959,2.316180355132133,0.38822705301078253,9.411099647692044,0.0,3.1939047388770487
fulltone_full_drive_2,S3,3,1244,0,0.21118523807939685,0.05315784167811534,-0.23257277886839456,0.8881949279864265,1.3982868183067085,0.27511785536400934,5.8867653771894615,3.4185616399232206e-06,2.305821890610846
fulltone_full_drive_2,S4,3,1244,16,0.21580912676529523,0.05368225181422946,-0.2194453539784893,0.8861163324173192,1.4184648194956175,0.2752106396527528,5.926166808905042,3.7758179964912753e-06,2.3782026714675264
electro_harmonix_big_muff,B0,3,12145,0,0.5969261171971662,0.01114577116047969,-0.45004971395700366,0.6644734756509154,1.5065626520118538,0.4905438031872681,7.884014729057308,0.0,0.0
electro_harmonix_big_muff,B2,3,12153,0,0.9308522949294002,0.011513460137598349,-0.9303367776408714,0.26440137154595306,5.027516573646563,0.9325785276354207,20.924463312984518,0.0,0.5594095619407075
electro_harmonix_big_muff,S3,3,1244,0,0.9669655454152576,0.013073694529634678,-0.9299187558715862,0.2335713025601589,3.422188010015983,0.9075704235112433,18.74689429317648,0.000319357890864961,0.6199082559087735
electro_harmonix_big_muff,S4,3,1244,16,0.9594585368473312,0.012847943599786171,-0.9284622000469108,0.23129352264315847,3.413324100730635,0.9062858220509126,18.84086045746702,0.0019774812607536167,0.6073321458146548
